"filename", "language", "JavaScript", "Vue", "SCSS", "YAML", "XML", "CSS", "Markdown", "JSON", "Handlebars", "HTML", "JSON with Comments", "Docker", "comment", "blank", "total"
"e:\weichang\iot-web\src\api\remote-search.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\weichang\iot-web\src\api\system\download-api.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 21
"e:\weichang\iot-web\src\api\system\sys-auth-book-log-api.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 21
"e:\weichang\iot-web\src\api\system\sys-cost-api.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"e:\weichang\iot-web\src\api\system\sys-department-api.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10, 84
"e:\weichang\iot-web\src\api\system\sys-order-operation-log-api.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 23
"e:\weichang\iot-web\src\api\system\sys-permission-api.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 12, 95
"e:\weichang\iot-web\src\api\system\sys-role-api.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 13, 99
"e:\weichang\iot-web\src\api\system\sys-user-api.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 14, 134
"e:\weichang\iot-web\src\api\system\upload-api.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 36
"e:\weichang\iot-web\src\api\user.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"e:\weichang\iot-web\src\assets\custom-theme\index.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\components\BackToTop\index.vue", "Vue", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 112
"e:\weichang\iot-web\src\components\Breadcrumb\index.vue", "Vue", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 87
"e:\weichang\iot-web\src\components\Charts\Keyboard.vue", "Vue", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 156
"e:\weichang\iot-web\src\components\Charts\LineMarker.vue", "Vue", 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 228
"e:\weichang\iot-web\src\components\Charts\MixChart.vue", "Vue", 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 272
"e:\weichang\iot-web\src\components\Charts\mixins\resize.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 57
"e:\weichang\iot-web\src\components\DatePickerRange\index.vue", "Vue", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 136
"e:\weichang\iot-web\src\components\DndList\index.vue", "Vue", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 167
"e:\weichang\iot-web\src\components\DragSelect\index.vue", "Vue", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 66
"e:\weichang\iot-web\src\components\Dropzone\index.vue", "Vue", 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 298
"e:\weichang\iot-web\src\components\ErrorLog\index.vue", "Vue", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 79
"e:\weichang\iot-web\src\components\GithubCorner\index.vue", "Vue", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"e:\weichang\iot-web\src\components\Hamburger\index.vue", "Vue", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"e:\weichang\iot-web\src\components\ImageCropper\index.vue", "Vue", 0, 1688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 8, 1780
"e:\weichang\iot-web\src\components\ImageCropper\utils\data2blob.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 20
"e:\weichang\iot-web\src\components\ImageCropper\utils\effectRipple.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 40
"e:\weichang\iot-web\src\components\ImageCropper\utils\language.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 233
"e:\weichang\iot-web\src\components\ImageCropper\utils\mimes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\weichang\iot-web\src\components\JsonEditor\index.vue", "Vue", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 78
"e:\weichang\iot-web\src\components\Kanban\index.vue", "Vue", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 100
"e:\weichang\iot-web\src\components\LangSelect\index.vue", "Vue", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"e:\weichang\iot-web\src\components\MDinput\index.vue", "Vue", 0, 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 361
"e:\weichang\iot-web\src\components\MarkdownEditor\default-options.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 32
"e:\weichang\iot-web\src\components\MarkdownEditor\index.vue", "Vue", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 119
"e:\weichang\iot-web\src\components\Pagination\index.vue", "Vue", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 102
"e:\weichang\iot-web\src\components\PanThumb\index.vue", "Vue", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 143
"e:\weichang\iot-web\src\components\RightPanel\index.vue", "Vue", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 146
"e:\weichang\iot-web\src\components\Screenfull\index.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"e:\weichang\iot-web\src\components\Share\DropdownMenu.vue", "Vue", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 104
"e:\weichang\iot-web\src\components\SizeSelect\index.vue", "Vue", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 58
"e:\weichang\iot-web\src\components\Sticky\index.vue", "Vue", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 92
"e:\weichang\iot-web\src\components\SvgIcon\index.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 63
"e:\weichang\iot-web\src\components\TextHoverEffect\Mallki.vue", "Vue", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 114
"e:\weichang\iot-web\src\components\ThemePicker\index.vue", "Vue", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 176
"e:\weichang\iot-web\src\components\Tinymce\components\EditorImage.vue", "Vue", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 112
"e:\weichang\iot-web\src\components\Tinymce\dynamicLoadScript.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 61
"e:\weichang\iot-web\src\components\Tinymce\index.vue", "Vue", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 11, 255
"e:\weichang\iot-web\src\components\Tinymce\plugins.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 8
"e:\weichang\iot-web\src\components\Tinymce\toolbar.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 7
"e:\weichang\iot-web\src\components\TreeSelect\index.vue", "Vue", 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 194
"e:\weichang\iot-web\src\components\UploadExcel\index.vue", "Vue", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 139
"e:\weichang\iot-web\src\components\Upload\SingleImage.vue", "Vue", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 135
"e:\weichang\iot-web\src\components\Upload\SingleImage2.vue", "Vue", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 131
"e:\weichang\iot-web\src\components\Upload\SingleImage3.vue", "Vue", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 158
"e:\weichang\iot-web\src\directive\clipboard\clipboard.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 50
"e:\weichang\iot-web\src\directive\clipboard\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\weichang\iot-web\src\directive\el-drag-dialog\drag.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 78
"e:\weichang\iot-web\src\directive\el-drag-dialog\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\weichang\iot-web\src\directive\el-table\adaptive.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 42
"e:\weichang\iot-web\src\directive\el-table\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\weichang\iot-web\src\directive\permission\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\weichang\iot-web\src\directive\permission\permission.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"e:\weichang\iot-web\src\directive\sticky.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 92
"e:\weichang\iot-web\src\directive\waves\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\weichang\iot-web\src\directive\waves\waves.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\weichang\iot-web\src\directive\waves\waves.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73
"e:\weichang\iot-web\src\filters\index.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 69
"e:\weichang\iot-web\src\icons\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
